sep=;
series_id;round;configuration;time_seconds;agent;agent_side;move_action;rotate_action;combined_action;behavior_state;opening_plan;sword_x;sword_y;tip_x;tip_y;handle_x;handle_y;my_threat_distance;opponent_threat_distance;threat_advantage;sword_distance
S03;2;H2H_ML_Left_FSM_Right;0,7187;ML;Left;Right;Clockwise;Right_Clockwise;Neutral;;-3,0810;-0,8363;-1,8875;-0,9617;-4,2744;-0,7108;10,1488;10,0838;-0,0649;6,0965
S03;2;H2H_ML_Left_FSM_Right;0,8198;FSM;Right;Left;None;Left_None;Opening;Lower;2,7218;-0,9994;1,5235;-0,9366;3,9202;-1,0622;9,8003;9,8587;0,0584;5,5137
S03;2;H2H_ML_Left_FSM_Right;0,8198;ML;Left;Right;CounterClockwise;Right_CounterClockwise;Neutral;;-2,7894;-0,8363;-1,6042;-1,0240;-3,9747;-0,6485;9,8587;9,8003;-0,0584;5,5137
S03;2;H2H_ML_Left_FSM_Right;0,9204;FSM;Right;Left;None;Left_None;Opening;Lower;2,4314;-0,9994;1,2331;-0,9366;3,6298;-1,0622;9,5183;9,6070;0,0887;4,9332
S03;2;H2H_ML_Left_FSM_Right;0,9204;ML;Left;Right;None;Right_None;Neutral;;-2,4990;-0,8363;-1,2990;-0,8363;-3,6990;-0,8363;9,6070;9,5183;-0,0887;4,9332
S03;2;H2H_ML_Left_FSM_Right;1,0207;FSM;Right;Left;None;Left_None;Opening;Lower;2,1422;-0,9994;0,9439;-0,9366;3,3406;-1,0622;9,2381;9,3274;0,0893;4,3551
S03;2;H2H_ML_Left_FSM_Right;1,0207;ML;Left;Right;None;Right_None;Neutral;;-2,2098;-0,8363;-1,0098;-0,8363;-3,4098;-0,8363;9,3274;9,2381;-0,0893;4,3551
S03;2;H2H_ML_Left_FSM_Right;1,1215;FSM;Right;Left;None;Left_None;Opening;Lower;1,8513;-0,9994;0,6530;-0,9366;3,0497;-1,0622;8,9567;9,0467;0,0900;3,7738
S03;2;H2H_ML_Left_FSM_Right;1,1215;ML;Left;Right;None;Right_None;Neutral;;-1,9189;-0,8363;-0,7189;-0,8363;-3,1189;-0,8363;9,0467;8,9567;-0,0900;3,7738
S03;2;H2H_ML_Left_FSM_Right;1,2231;FSM;Right;Left;None;Left_None;Opening;Lower;1,5583;-0,9994;0,3600;-0,9366;2,7567;-1,0622;8,6740;8,7291;0,0551;3,1884
